ID;iata;icao;airportDescription;location;country
72aecded-87e2-47c9-a35c-d1a1d6d75fa3;ASG;NZAS;Ashburton;Ashburton;New Zealand
686d076b-2599-4bcf-bf8f-f4bb21c20e5e;ASJ;RJKA;Amami Airport;Kagoshima;Japan
a790b097-4fb7-4722-90f4-b4651c9e29af;ASK;DIYO;Yamoussoukro;Yamoussoukro;Ivory Coast
3ed1bf59-71ab-4268-8114-682b6de7c4f0;ASO;HASO;Asosa;Asosa;Ethiopia
05a541e5-6759-4001-9dac-bb56b841d1cf;ASP;YBAS;Alice Springs Airport;Alice Springs;Australia
14096e5c-cfb1-4d87-9239-2ac98ce53140;ASR;LTAU;Kayseri Erkilet Intl Airport;Kayseri;Turkey
c6e75ed2-26d3-44ee-93e1-3d290aecdce3;ASU;SGAS;Asuncion Silvio Pettirossi Int;Asuncion;Paraguay
0a18b696-0085-44cc-ba19-ee471a6bf190;ASV;HKAM;Amboseli;Amboseli;Kenya
b55d3545-1bb1-48e0-874e-1d35ba186b0c;ASW;HESN;Aswan Intl Airport;Aswan;Egypt
bcd5859a-fcdc-4c35-af71-b786fe012cfc;ATA;SPHZ;Comandante German Arias Grazz*;Anta;Peru
96f1b2bb-5341-4a53-849d-0982066c578b;ATB;HSAT;Atbara;Atbara;Sudan
308736b3-1f15-452a-aee7-da28916b518a;ATC;MYCA;Arthurs Town Airport;Arthurs Town;Bahamas
80ab7ffc-46fd-4322-9751-a4b2c3aec618;ATF;SEAM;Chachoan;Ambato;Ecuador
6597f93b-8e8c-4132-ab3c-8b4afeac82fb;ATH;LGAV;Athens Intl Airport (Eleftherios Venizelos);Athens (Athina);Greece
6aa4cef3-8357-40b3-a521-4f13dddff851;ATI;SUAG;Artigas Intl;Artigas;Uruguay
14190753-6f09-4e7c-8b7f-af30b54bb81d;ATJ;FMME;Antsirabe;Antsirabe;Madagascar
2084ea94-f983-4c7f-8233-3b94f29e0dd6;ATL;KATL;Hartsfield-Jackson Atlanta Intl Airport;Atlanta, Georgia;USA
